FirstName,LastName,Email,Phone,Designation,Salary
John,Doe,john.doe@example.com,1234567890,Software Engineer,80000
Jane,Smith,jane.smith@example.com,9876543210,Project Manager,90000
Alice,Johnson,alice.johnson@example.com,5551234567,Data Analyst,70000
Bob,Brown,bob.brown@example.com,4449876543,UX Designer,75000
Charlie,Wilson,charlie.wilson@example.com,3332221111,QA Tester,65000
David,Taylor,david.taylor@example.com,2223334444,System Administrator,72000
Eva,Green,eva.green@example.com,1115556666,Product Owner,95000
Frank,Moore,frank.moore@example.com,8889990000,DevOps Engineer,85000
Grace,Lee,grace.lee@example.com,7778889999,Marketing Specialist,68000
Henry,Harris,henry.harris@example.com,6664443333,HR Manager,77000
Liam,Clark,liam.clark@example.com,4443332222,Data Scientist,92000
Mia,Lopez,mia.lopez@example.com,1112223333,Software Tester,60000
Noah,Martinez,noah.martinez@example.com,8885554444,Web Developer,82000
Olivia,Garcia,olivia.garcia@example.com,9998887777,Content Writer,58000
Ethan,Lee,ethan.lee@example.com,2224445555,Network Engineer,75000
Sophia,Nguyen,sophia.nguyen@example.com,3336667777,Product Designer,78000
Lucas,Walker,lucas.walker@example.com,4449990000,Sales Executive,62000
Isabella,Hall,isabella.hall@example.com,5551112222,Business Analyst,71000
Mason,Allen,mason.allen@example.com,6662223333,SEO Specialist,64000
Ava,Young,ava.young@example.com,7778889990,Customer Support,50000
